Transaction Hash,Time Taken
0xde049f4a593e4bb7e2e79b1887b378f433212dc6a09a90715dedec70c80ae0ae,20
0x57d9e51d155cce21388eaa0ad267be7b7cbc4d677aabc501744d305e15ffabd4,20
0x8bfc3e8e18a4b133670d568dd95bff4fee5e5286470945341349d7b4c25ffc04,20
0x1ace32d15a86ae2487ea015b68cf13faf772256944d6e71ba8d9792f852bef44,31
0x13b435780454f9a1cd3f9017d260f8185d8fdd87be4a38ea5eb7dcd944e1e7d9,20
0xb9271e6262df235e716a8030321e34f51bb051bf2bdb619740b9867bb208369d,20
0xa641610c69c079ce4cfe24f17e4cd02b580582ed7418be2e4985e414218e1823,20
0x6b4c7b7f751f1e9cf9c8f7fcbdfb8003ae3d02558d01a1bc7d9869f056dbbbd8,21
0x84a5d9f8d3e444e044e43e538b4c1e005b0580bb00a7c957cedf323085ac4fe7,19
0x05bdc4228870a5ecc31d43e226f371faef1febb76ba6af37e2e85033a7f81ceb,13
0x88b7433c6b75b8daa1a39117da73a185ed44aad2eba5f8e058904d45cf35a014,30
0xbfa789b985c0a4b03448c3c9564aa508361fb4182182dbaf3c1e9dd6fb0f316f,19
0x56753169032a937c32556a02689b38c014ee5165bb2d09165b42b4af6ba76c0f,19
0x45041555aafdd13420b2825fccbdf989c75fda796116d2badf1e33c7bb0f2949,21
0xb8325b09b5f3a17d96f2d8fd6048bb79fa5d5919c11e39198bf66edb643b8496,19
0x9a49cd11a312d850235746c6fdb5e7e42924df3262c11e6d2e1dc371ccf04bf6,6
0x74cb1333d3648771527dcf7d9ef72686268f76434188b7d07b710f455a4cb667,6
0x1ecd2538511ef4f4f6f66a6458e0fe8fc3703168e9d892d304760fdab1bae3e2,19
0x72b0b3c2aace7f073f22442465aff9d26e9e6d1f768da29d895f1581c145b1f6,5
0x9fe138a77db38ad0fb951cc0e7c6c00ebbcc2dc8670005ce9f0c4ce606f29246,15
0xc3c36adec51b52e07e62397b320640927ab08e07934f9c87dfa531be829682b1,6
0x9b10ad5b20e022e6210a8059aceb1dad6d01cac5ce329fc215f3e5ae926004f6,15
0x9d5e9299b6944a3b8574f24662b6a9e3f421ce9c5a6eb4c9357893de399aa680,6
0xc801d17567e1156b0504550a5e6c11275be462f3fb7698768fc8f36884d70e61,6
